Primary DBID	Systematic Name	Standard Name	Name	Feature Type	Function Summary	Description	Gene Summary
S000000011	YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	ORF	"Subunit of Rpd3L histone deacetylase complex involved in transcription regulation, heterochromatin assembly at both rDNA and the silent mating locus, and telomeric silencing"	"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"	
S000000012	YAL014C	SYN8	SYNtaxin	ORF	Endosomal SNAP receptor involved in Golgi to vacuole transport	Endosomal SNARE related to mammalian syntaxin 8	
S000000013	YAL015C	NTG1	eNdonuclease Three-like Glycosylase	ORF	"Oxidized nucleobase lesion DNA N-glycosylase and endonuclease involved in base-excision repair, upregulation of mitochondrial DNA replication, and oxidative stress response; localizes to nucleus and mitochondrion"	"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication"	
S000000014	YAL016W	TPD3	tRNA Processing Deficient	ORF	"Subunit of protein phosphatase type 2A complex; involved in translation regulation and mitotic spindle assembly checkpoint; localizes throughout cell to nucleus, cytoplasm, spindle pole body, bud neck, bud neck, and shmoo tip"	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III	
S000000015	YAL017W	PSK1	Pas domain-containing Serine/threonine protein Kinase	ORF	"Cytoplasmic protein serine/threonine kinase that regulates glycogen biosynthesis and 1,6-beta-glucan biosynthesis"	"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"	
S000000016	YAL018C	LDS1	Lipid Droplets in Sporulation	ORF	"Protein involved in ascospore wall assembly; localizes to lipid droplets, prospore membrane, and ascospore wall"	"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants"	
S000000017	YAL019W	FUN30	Function Unknown Now	ORF	"DNA-dependent ATPase that binds chromatin; involved in DNA double-strand break processing and heterochromatin maintenence by chromatin silencing at telomere, silent mating-type cassette, rDNA; localizes to centromeric regions of chromosomes"	"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"	
S000000018	YAL020C	ATS1	Alpha Tubulin Suppressor	ORF	Cytoplasmic protein involved in tRNA wobble uridine modification	"Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"	
S000000019	YAL021C	CCR4	Carbon Catabolite Repression	ORF	"3'-5'-exoribonuclease subunit of the core CCR4-NOT complex; involved in deadenylation-dependent mRNA decay, nuclear-transcribed mRNA poly(A) tail shortening, replication fork protection, DNA replication, and regulation of transcription and transcription elongation; also involved in the DNA replication checkpoint and traversing the start control point of the mitotic cell cycle; colocalizes with the Cdc73/Paf1 complex and localizes to the cytoplasm and cytoplasmic mRNA processing body"	"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	
S000000020	YAL022C	FUN26	Function Unknown Now	ORF	Nicotinamide riboside transmembrane transporter; localizes to the vacuole membrane	"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"	
S000000021	YAL023C	PMT2	Protein O-MannosylTransferase	ORF	"Dolichol phosphomannose-protein mannosyltransferase involved in protein export from endoplasmic reticulum (ER), protein O-linked glycosylation, ER-associated misfolded protein degradation, and regulation of the ER unfolded protein response"	"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication"	
S000000022	YAL024C	LTE1	Low Temperature Essential	ORF	"Putative guanyl-nucleotide exchange factor based on sequence similarity but without detectable activity; involved in vesicle-mediated transport, spindle orientation and mitotic exit; localizes to the bud"	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	
S000000023	YAL025C	MAK16	MAintenance of Killer	ORF	Nucleolar protein involved in rRNA maturation and large ribosomal subunit biogenesis; localizes to large subunit precursor of preribosome	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	
S000000024	YAL026C	DRS2	Deficiency of Ribosomal Subunits	ORF	"Subunit of the Cdc50p-Drs2p phospolipid flippase complex; maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; localizes to the trans-Golgi network"	"Trans-golgi network aminophospholipid translocase (flippase); P4-type ATPase; maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network"	
S000000025	YAL027W	SAW1	Single-strand Annealing Weakened	ORF	Nuclear protein that binds 5' and 3' single-stranded ends in DNA; involved in double-strand break repair via single-strand annealing	5'- and 3'-flap DNA binding protein; required for recruitment of Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; forms a complex with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	
S000000026	YAL028W	FRT2	Functionally Related to TCP1	ORF	Endoplasmic reticulum protein involved in responses to basic pH and salt stress	"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"	
S000000027	YAL029C	MYO4	MYOsin	ORF	"Actin filament-binding microfilament motor involved in mRNA localization, endoplasmic reticulum inheritance, and mating type switching; localizes to bud tip and mitochondrion"	"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication"	
S000000028	YAL030W	SNC1	Suppressor of the Null allele of CAP	ORF	"SNAP receptor involved in Golgi to plasma membrane transport, vesicle fusion, endocytosis, and exocytosis; localizes to the endosome, trans-Golgi network, transport vesicle membrane, plasma membrane, and bud neck"	"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication"	
S000000029	YAL031C	GIP4	Glc7 Interacting Protein	ORF	Cytoplasmic protein phosphatase 1 regulator involved in chromosome segregation	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	
S000000030	YAL032C	PRP45	Pre-mRNA Processing	ORF	Spliceosome-associating protein essential to pre-messenger RNA (mRNA) splicing; contributes to formation of catalytic spliceosome for second transesterification step	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	
S000000031	YAL033W	POP5	Processing Of Precursor RNAs	ORF	"RNA-binding protein subunit of both ribonuclease MRP complex and nucleolar ribonuclease P complex; involved in rRNA processing, tRNA processing, intronic box C/D snoRNA processing, and endonucleolytic cleavage-dependent mRNA decay"	"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"	
S000000032	YAL034W-A	MTW1	Mis TWelve-like	ORF	Subunit of nuclear MIND complex involved in chromosome segregation; helps recruit outer kinetochore subunits that will bind to microtubules; localizes to spindle pole	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)	
S000000033	YAL035W	FUN12	Function Unknown Now	ORF	Protein and ribosome binding GTPase involved in the formation of the cytoplasmic translation initiation complex and maturation of SSU-rRNA; involved in regulation of translational initiation; localizes to the cytosolic small ribosomal subunit and eukaryotic 48S pre initiation complex	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2	
S000000034	YAL036C	RBG1	RiBosome interacting Gtpase	ORF	Cytoplasmic GTP-binding protein involved in translation and up-regulation of amino acid starvation response; localizes to polysomes and stress granules	"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"	
S000000035	YAL037W			ORF	Protein whose biological role and cellular location are unknown	"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication"	
S000000036	YAL038W	CDC19	Cell Division Cycle	ORF	"Pyruvate kinase that catalyzes the final step in glycolysis, the conversion of phosphoenolpyruvate to pyruvate, which is then utilized in anaerobic or aerobic respiration; localized to the cytoplasm"	"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"	
S000000037	YAL039C	CYC3	CYtochrome C	ORF	Holocytochrome c synthase involved in cytochrome c-heme linkage; localizes to mitochondrial intermembrane space	"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant"	
S000000038	YAL040C	CLN3	CycLiN	ORF	Cyclin-dependent protein kinase (CDK) regulatory subunit; regulates cell cycle passage through START by regulating transcription at the G1/S phase transcription; regulates non-autophagic vacuole fusion; localizes to the nucleus	"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"	
S000000039	YAL041W	CDC24	Cell Division Cycle	ORF	"Rho guanine nucleotide exchange factor for Cdc42p; involved in cellular bud site selection, septin ring organization, and regulation of mitotic exit; localizes to the nucleus, cytoplasm, incipient bud sites, and sites of polarized growth"	"Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"	
S000000040	YAL042W	ERV46	ER Vesicle	ORF	COPII-coated vesicle subunit involved in endoplasmic reticulum to Golgi vesicle-mediated transport; integral to Golgi and endoplasmic reticulum membranes	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport	
S000000041	YAL043C	PTA1	Pre-Trna Accumulation	ORF	"Subunit of mRNA cleavage and polyadenylation specificity factor (CPF) complex that binds to canonical AAUAAA hexamer and to U-rich upstream sequence elements on pre-mRNA to stimulate transcription; also involved in pre-mRNA cleavage required for polyadenylation, poly(A) coupled transcription termination, and tRNA processing"	"Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"	
S000000042	YAL044C	GCV3	GlyCine cleaVage	ORF	Subunit of mitochondrial glycine dehydrogenase complex involved in protein lipoylation and one-carbon metabolism	"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"	
S000000043	YAL045C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"	
S000000044	YAL046C	BOL3	BolA-like protein	ORF	Mitochondrial matrix protein involved in transferring [4Fe-4S] clusters from the ISA complex to client proteins	"Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)"	
S000000045	YAL047C	SPC72	Spindle Pole Component	ORF	"Structural constituent of cytoskeleton; involved in microtubule nucleation,nuclear migration along microtubule, mitotic spindle elongation, mitotic spindle orientation checkpoint and mitotic sister chromatid segregation; localizes to outer plaque of spindle pole body"	"Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase"	
S000000046	YAL048C	GEM1	GTPase EF-hand protein of Mitochondria	ORF	"Calcium-binding GTPase subunit of ERMES complex; involved in phospholipid homeostasis, mitochondrion-endoplasmic reticulum membrane tethering, mitochondrial organization and inheritance, and heme transport; localizes to outer mitochondrial membrane"	"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases"	
S000000047	YAL049C	AIM2	Altered Inheritance rate of Mitochondria	ORF	Protein whose biological role is unknown; localized to the cytoplasm	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	
S000000048	YAL051W	OAF1	Oleate-Activated transcription Factor	ORF	"Subunit of the heterodimeric Pip2-Oaf1 complex, which binds to promoter proximal elements upstream of genes involved in peroxisomal proliferation, functioning as a transcriptional activator in the presence of oleate; regulates chromatin silencing at telomeres"	"Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication"	
S000000049	YAL053W	FLC2	FLavin Carrier	ORF	"FAD transmembrane transporter involved in hypotonic response, calcium homeostasis, sphingolipid biosynthesis, and cell wall formation; localizes to cytoplasm and endoplasmic reticulum"	"Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"	
S000000050	YAL054C	ACS1	Acetyl CoA Synthetase	ORF	"Cytosolic acetyl-CoA ligase with roles in acetyl-CoA synthesis, histone acetylation, and acetate fermentation; localizes to mitochondria in high-throughput studies"	"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"	
S000000051	YAL055W	PEX22	PEroXisome related	ORF	"Protein that binds to Pex4p and activates its E2 ubiquitin-conjugating activity, promoting recycling of the peroxisomal import receptor Pex5p; also stimulates Pex4p and autoubiquitination activity; localized to the peroxisomal membrane"	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation	
S000000052	YAL056W	GPB2		ORF	"GAP-binding cAMP-dependent protein kinase inhibitor involved in glucose signaling, downregulation of Ras protein signal transduction, pseudohyphal growth, and ascospore formation; localizes to plasma membrane, cytoplasm, and mitochondria"	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication"	
S000000054	YAL058W	CNE1	CalNExin and calreticulin homolog	ORF	Unfolded protein-binding protein involved in protein folding and ER-associated ubiquitin-dependent protein breakdown; localizes to endoplasmic reticulum membrane	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"	
S000000055	YAL059W	ECM1	ExtraCellular Mutant	ORF	Subunit of preribosome involved in nuclear export of large ribosomal subunit; localizes to nucleolus	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	
S000000056	YAL060W	BDH1	Butanediol DeHydrogenase	ORF	Cytoplasmic butanediol dehydrogenase involved in butanediol biosynthesis and alcohol metabolism	"NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"	
S000000057	YAL061W	BDH2		ORF	Putative oxidoreductase that localizes to both the nucleus and cytoplasm	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	
S000000058	YAL062W	GDH3	Glutamate DeHydrogenase	ORF	Glutamate dehydrogenase involved in glutamate biosynthesis; localizes to both nucleus and mitochondria	"NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"	
S000000059	YAL063C	FLO9	FLOcculation	ORF	Putative mannose-binding protein of the cell wall involved in flocculation and cell-surface adhesion	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation	
S000000060	YAL064W			ORF	Protein whose biological role and cellular location are unknown	"Protein of unknown function; may interact with ribosomes, based on co-purification experiments"	
S000000061	YAL066W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000000062	YAL067C	SEO1	Suppressor of sulfoxyde EthiOnine resistance	ORF	Putative transmembrane transporter based on sequence similarity to transmembrane transporter gene families; localizes to cell periphery	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide	
S000000063	YAR002W	NUP60	NUclear Pore	ORF		FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153	
S000000064	YAR003W	SWD1	"Set1c, WD40 repeat protein"	ORF	Histone H3 lysine 4-specific methyltransferase subunit of Set1C/COMPASS complex; involved in telomeric silencing and transcription regulation	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7	
S000000065	YAR007C	RFA1	Replication Factor A	ORF	"A DNA-binding protein involved in DNA replication, repair and recombination as well as maintenance of telomeres; localizes to condensed nuclear chromosome as well as telomeric regions of chromsomes"	"Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved ssDNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; promotes recruitment, helicase and nuclease activities of Dna2p; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia"	
S000000066	YAR008W	SEN34	Splicing ENdonuclease	ORF	Splicing endonuclease subunit of tRNA-intron endonuclease complex involved in splice site recognition and cleavage; localizes to outer mitochondrial membrane	"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"	
S000000069	YAR014C	BUD14	BUD site selection	ORF	"Regulatory protein involved in bud site selection, actin filament polymerization, and transport into the incipient bud; subunit of the Kelch-containing formin regulatory complex"	"Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress"	
S000000070	YAR015W	ADE1	ADEnine requiring	ORF	Phosphoribosylaminoimidazolesuccinocarboxamide synthase involved in the biosynthesis of purine nucleotides	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress	
S000000071	YAR018C	KIN3	protein KINase	ORF	Protein kinase involved in chromosome segregation	Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol	
